NAMESPACE            LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
jenkins-bot          12m         Normal    Killing             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Stopping container kubectl
jenkins-bot          12m         Normal    Killing             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Stopping container sonar-scanner-cli
jenkins-bot          12m         Normal    Killing             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Stopping container maven
jenkins-bot          12m         Normal    Killing             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Stopping container kaniko
team-nova            12m         Normal    Pulled              pod/atwcoreis-686ddd4fc9-5wgxz                  Container image "apache/skywalking-java-agent:8.9.0-java8" already present on machine
jenkins-bot          12m         Normal    Killing             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Stopping container jnlp
team-nova            12m         Normal    Started             pod/atwcoreis-686ddd4fc9-5wgxz                  Started container mount-skywalking-agent
team-nova            12m         Normal    Pulling             pod/atwcoreis-686ddd4fc9-5wgxz                  Pulling image "harbor-core.olivedigital.tech/nova/atwcoreis:beta-abe4609"
team-nova            11m         Normal    Pulled              pod/atwcoreis-686ddd4fc9-5wgxz                  Successfully pulled image "harbor-core.olivedigital.tech/nova/atwcoreis:beta-abe4609" in 2.274134076s
team-nova            11m         Normal    Started             pod/atwcoreis-686ddd4fc9-5wgxz                  Started container atwcoreis
team-nova            11m         Normal    Created             pod/atwcoreis-686ddd4fc9-5wgxz                  Created container atwcoreis
team-nova            11m         Normal    Killing             pod/atwcoreis-c79bb7bd7-zk5p8                   Stopping container atwcoreis
team-nova            11m         Normal    SuccessfulDelete    replicaset/atwcoreis-c79bb7bd7                  Deleted pod: atwcoreis-c79bb7bd7-zk5p8
team-nova            11m         Normal    ScalingReplicaSet   deployment/atwcoreis                            Scaled down replica set atwcoreis-c79bb7bd7 to 0
